Mark Acres,C,6-11,220,30.0,5
Michael Adams,G,5-10,162,30.0,7
Steve Burtt,G,6-2,185,30.0,3
Rex Chapman,G,6-4,185,25.0,4
Chris Corchiani,G,6-0,185,25.0,1
Pervis Ellison,C,6-9,210,26.0,3
Harvey Grant,F,6-8,195,27.0,4
Tom Gugliotta,F,6-10,250,23.0,0
Byron Irvin,G,6-5,190,26.0,2
Buck Johnson,F,6-7,190,29.0,6
Charles Jones,C,6-9,215,36.0,9
Don MacLean,F,6-10,235,23.0,0
Alan Ogg,C,7-2,240,25.0,2
Doug Overton,G,6-3,190,23.0,0
Brent Price,G,6-1,185,24.0,0
Larry Robinson,G,6-3,180,25.0,2
Labradford Smith,F,6-3,200,24.0,1
Larry Stewart,F,6-8,220,24.0,1
