Date: Tue, 14 Jan 1997 20:18:13 GMT
Server: Stronghold/1.3 Ben-SSL/1.3 Apache/1.1.1
Content-type: text/plain
Content-length: 1506
Last-modified: Thu, 06 Apr 1995 01:33:40 GMT

Literal copy of data from Boyle's paper. The two data files
condensation.data and rarefaction.data contain the same numbers
in decimal format

A table of the condensation of the air

48		12		00		29+2/16		29+2/16
46		11+1/2		01+7/16		30+9/16		30+6/16
44		11		02+13/16	31+15/16	31+12/16
42		10+1/2		04+6/16		33+8/16		33+1/7
40		10		06+3/16		35+5/16		35
38		9+1/2		07+14/16	37		36+15/19
36		9		10+2/16		39+5/16		38+7/8
34		8+1/2		12+8/16		41+10/16	41+2/17
32		8		15+1/16		44+3/16		43+11/16
30		7+1/2		17+15/16	47+1/16		46+3/5
28		7		21+3/16		50+5/16		50
26		6+1/2		25+3/16		54+5/16		53+10/13
24		6		29+11/16	58+13/16	58+2/8
23		5+3/4		32+3/16		61+5/16		60+18/23
22		5+1/2		34+15/16	64+1/16		63+6/11
21		5+1/4		37+15/16	67+1/16		66+4/7
20		5		41+9/16		70+11/16	70
19		4+3/4		45		74+2/16		73+11/19
18		4+1/2		48+12/16	77+14/16	77+2/3
17		4+1/4		53+11/16	82+12/16	82+4/17
16		4		58+2/16		87+14/16	87+3/8
15		3+3/4		63+15/16	93+1/16		93+1/5
14		3+1/2		71+5/16		100+7/16	99+6/7
13		3+1/4		78+11/16	107+13/16	107+7/13
12		3		88+7/16		117+9/16	116+4/8


A table of the rarefaction of the air

1	00	29+3/4	29+3/4
1+1/2	10+5/8	19+1/8	19+5/6
2	15+3/8	14+3/8	14+7/8
3	20+2/8	9+4/8	9+15/12
4	22+5/8	7+1/8	7+7/16
5	24+1/8	5+5/8	5+19/25
6	24+7/8	4+7/8	4+23/24
7	25+4/8	4+2/8	4+1/4
8	26	3+6/8	3+23/32
9	26+3/8	3+3/8	3+11/36
10	26+6/8	3	2+39/40
12	27+1/8	2+5/8	2+23/48
14	27+4/8	2+2/8	2+1/8
16	27+6/8	2	1+55/64
18	27+7/8	1+7/8	1+47/72
20	28	1+6/8	1+9/80
24	28+2/8	1+4/8	1+23/96
28	28+3/8	1+3/8	1+1/16
32	28+4/8	1+2/8	119/128
